pt,p,layers_in_out
CCGT,AMMONIA,0.0
CCGT,COAL,0.0
CCGT,ELECTRICITY,1.0
CCGT,GAS,-1.59
CCGT,H2,0.0
CCGT,HEAT_HIGH_T,0.0
CCGT,HEAT_LOW_T_DECEN,0.0
CCGT,HEAT_LOW_T_DHN,0.0
CCGT,LFO,0.0
CCGT,RES_GEO,0.0
CCGT,RES_HYDRO,0.0
CCGT,RES_SOLAR,0.0
CCGT,RES_WIND,0.0
CCGT,URANIUM,0.0
CCGT,WASTE,0.0
CCGT,WET_BIOMASS,0.0
CCGT,WOOD,0.0
CCGT_AMMONIA,AMMONIA,-2.0
CCGT_AMMONIA,COAL,0.0
CCGT_AMMONIA,ELECTRICITY,1.0
CCGT_AMMONIA,GAS,0.0
CCGT_AMMONIA,H2,0.0
CCGT_AMMONIA,HEAT_HIGH_T,0.0
CCGT_AMMONIA,HEAT_LOW_T_DECEN,0.0
CCGT_AMMONIA,HEAT_LOW_T_DHN,0.0
CCGT_AMMONIA,LFO,0.0
CCGT_AMMONIA,RES_GEO,0.0
CCGT_AMMONIA,RES_HYDRO,0.0
CCGT_AMMONIA,RES_SOLAR,0.0
CCGT_AMMONIA,RES_WIND,0.0
CCGT_AMMONIA,URANIUM,0.0
CCGT_AMMONIA,WASTE,0.0
CCGT_AMMONIA,WET_BIOMASS,0.0
CCGT_AMMONIA,WOOD,0.0
COAL_IGCC,AMMONIA,0.0
COAL_IGCC,COAL,-1.85
COAL_IGCC,ELECTRICITY,1.0
COAL_IGCC,GAS,0.0
COAL_IGCC,H2,0.0
COAL_IGCC,HEAT_HIGH_T,0.0
COAL_IGCC,HEAT_LOW_T_DECEN,0.0
COAL_IGCC,HEAT_LOW_T_DHN,0.0
COAL_IGCC,LFO,0.0
COAL_IGCC,RES_GEO,0.0
COAL_IGCC,RES_HYDRO,0.0
COAL_IGCC,RES_SOLAR,0.0
COAL_IGCC,RES_WIND,0.0
COAL_IGCC,URANIUM,0.0
COAL_IGCC,WASTE,0.0
COAL_IGCC,WET_BIOMASS,0.0
COAL_IGCC,WOOD,0.0
COAL_US,AMMONIA,0.0
COAL_US,COAL,-2.04
COAL_US,ELECTRICITY,1.0
COAL_US,GAS,0.0
COAL_US,H2,0.0
COAL_US,HEAT_HIGH_T,0.0
COAL_US,HEAT_LOW_T_DECEN,0.0
COAL_US,HEAT_LOW_T_DHN,0.0
COAL_US,LFO,0.0
COAL_US,RES_GEO,0.0
COAL_US,RES_HYDRO,0.0
COAL_US,RES_SOLAR,0.0
COAL_US,RES_WIND,0.0
COAL_US,URANIUM,0.0
COAL_US,WASTE,0.0
COAL_US,WET_BIOMASS,0.0
COAL_US,WOOD,0.0
DEC_ADVCOGEN_GAS,AMMONIA,0.0
DEC_ADVCOGEN_GAS,COAL,0.0
DEC_ADVCOGEN_GAS,ELECTRICITY,2.64
DEC_ADVCOGEN_GAS,GAS,-4.55
DEC_ADVCOGEN_GAS,H2,0.0
DEC_ADVCOGEN_GAS,HEAT_HIGH_T,0.0
DEC_ADVCOGEN_GAS,HEAT_LOW_T_DECEN,1.0
DEC_ADVCOGEN_GAS,HEAT_LOW_T_DHN,0.0
DEC_ADVCOGEN_GAS,LFO,0.0
DEC_ADVCOGEN_GAS,RES_GEO,0.0
DEC_ADVCOGEN_GAS,RES_HYDRO,0.0
DEC_ADVCOGEN_GAS,RES_SOLAR,0.0
DEC_ADVCOGEN_GAS,RES_WIND,0.0
DEC_ADVCOGEN_GAS,URANIUM,0.0
DEC_ADVCOGEN_GAS,WASTE,0.0
DEC_ADVCOGEN_GAS,WET_BIOMASS,0.0
DEC_ADVCOGEN_GAS,WOOD,0.0
DEC_ADVCOGEN_H2,AMMONIA,0.0
DEC_ADVCOGEN_H2,COAL,0.0
DEC_ADVCOGEN_H2,ELECTRICITY,2.64
DEC_ADVCOGEN_H2,GAS,0.0
DEC_ADVCOGEN_H2,H2,-4.55
DEC_ADVCOGEN_H2,HEAT_HIGH_T,0.0
DEC_ADVCOGEN_H2,HEAT_LOW_T_DECEN,1.0
DEC_ADVCOGEN_H2,HEAT_LOW_T_DHN,0.0
DEC_ADVCOGEN_H2,LFO,0.0
DEC_ADVCOGEN_H2,RES_GEO,0.0
DEC_ADVCOGEN_H2,RES_HYDRO,0.0
DEC_ADVCOGEN_H2,RES_SOLAR,0.0
DEC_ADVCOGEN_H2,RES_WIND,0.0
DEC_ADVCOGEN_H2,URANIUM,0.0
DEC_ADVCOGEN_H2,WASTE,0.0
DEC_ADVCOGEN_H2,WET_BIOMASS,0.0
DEC_ADVCOGEN_H2,WOOD,0.0
DEC_BOILER_GAS,AMMONIA,0.0
DEC_BOILER_GAS,COAL,0.0
DEC_BOILER_GAS,ELECTRICITY,0.0
DEC_BOILER_GAS,GAS,-1.11
DEC_BOILER_GAS,H2,0.0
DEC_BOILER_GAS,HEAT_HIGH_T,0.0
DEC_BOILER_GAS,HEAT_LOW_T_DECEN,1.0
DEC_BOILER_GAS,HEAT_LOW_T_DHN,0.0
DEC_BOILER_GAS,LFO,0.0
DEC_BOILER_GAS,RES_GEO,0.0
DEC_BOILER_GAS,RES_HYDRO,0.0
DEC_BOILER_GAS,RES_SOLAR,0.0
DEC_BOILER_GAS,RES_WIND,0.0
DEC_BOILER_GAS,URANIUM,0.0
DEC_BOILER_GAS,WASTE,0.0
DEC_BOILER_GAS,WET_BIOMASS,0.0
DEC_BOILER_GAS,WOOD,0.0
DEC_BOILER_OIL,AMMONIA,0.0
DEC_BOILER_OIL,COAL,0.0
DEC_BOILER_OIL,ELECTRICITY,0.0
DEC_BOILER_OIL,GAS,0.0
DEC_BOILER_OIL,H2,0.0
DEC_BOILER_OIL,HEAT_HIGH_T,0.0
DEC_BOILER_OIL,HEAT_LOW_T_DECEN,1.0
DEC_BOILER_OIL,HEAT_LOW_T_DHN,0.0
DEC_BOILER_OIL,LFO,-1.18
DEC_BOILER_OIL,RES_GEO,0.0
DEC_BOILER_OIL,RES_HYDRO,0.0
DEC_BOILER_OIL,RES_SOLAR,0.0
DEC_BOILER_OIL,RES_WIND,0.0
DEC_BOILER_OIL,URANIUM,0.0
DEC_BOILER_OIL,WASTE,0.0
DEC_BOILER_OIL,WET_BIOMASS,0.0
DEC_BOILER_OIL,WOOD,0.0
DEC_BOILER_WOOD,AMMONIA,0.0
DEC_BOILER_WOOD,COAL,0.0
DEC_BOILER_WOOD,ELECTRICITY,0.0
DEC_BOILER_WOOD,GAS,0.0
DEC_BOILER_WOOD,H2,0.0
DEC_BOILER_WOOD,HEAT_HIGH_T,0.0
DEC_BOILER_WOOD,HEAT_LOW_T_DECEN,1.0
DEC_BOILER_WOOD,HEAT_LOW_T_DHN,0.0
DEC_BOILER_WOOD,LFO,0.0
DEC_BOILER_WOOD,RES_GEO,0.0
DEC_BOILER_WOOD,RES_HYDRO,0.0
DEC_BOILER_WOOD,RES_SOLAR,0.0
DEC_BOILER_WOOD,RES_WIND,0.0
DEC_BOILER_WOOD,URANIUM,0.0
DEC_BOILER_WOOD,WASTE,0.0
DEC_BOILER_WOOD,WET_BIOMASS,0.0
DEC_BOILER_WOOD,WOOD,-1.18
DEC_COGEN_GAS,AMMONIA,0.0
DEC_COGEN_GAS,COAL,0.0
DEC_COGEN_GAS,ELECTRICITY,0.96
DEC_COGEN_GAS,GAS,-2.17
DEC_COGEN_GAS,H2,0.0
DEC_COGEN_GAS,HEAT_HIGH_T,0.0
DEC_COGEN_GAS,HEAT_LOW_T_DECEN,1.0
DEC_COGEN_GAS,HEAT_LOW_T_DHN,0.0
DEC_COGEN_GAS,LFO,0.0
DEC_COGEN_GAS,RES_GEO,0.0
DEC_COGEN_GAS,RES_HYDRO,0.0
DEC_COGEN_GAS,RES_SOLAR,0.0
DEC_COGEN_GAS,RES_WIND,0.0
DEC_COGEN_GAS,URANIUM,0.0
DEC_COGEN_GAS,WASTE,0.0
DEC_COGEN_GAS,WET_BIOMASS,0.0
DEC_COGEN_GAS,WOOD,0.0
DEC_COGEN_OIL,AMMONIA,0.0
DEC_COGEN_OIL,COAL,0.0
DEC_COGEN_OIL,ELECTRICITY,0.91
DEC_COGEN_OIL,GAS,0.0
DEC_COGEN_OIL,H2,0.0
DEC_COGEN_OIL,HEAT_HIGH_T,0.0
DEC_COGEN_OIL,HEAT_LOW_T_DECEN,1.0
DEC_COGEN_OIL,HEAT_LOW_T_DHN,0.0
DEC_COGEN_OIL,LFO,-2.33
DEC_COGEN_OIL,RES_GEO,0.0
DEC_COGEN_OIL,RES_HYDRO,0.0
DEC_COGEN_OIL,RES_SOLAR,0.0
DEC_COGEN_OIL,RES_WIND,0.0
DEC_COGEN_OIL,URANIUM,0.0
DEC_COGEN_OIL,WASTE,0.0
DEC_COGEN_OIL,WET_BIOMASS,0.0
DEC_COGEN_OIL,WOOD,0.0
DEC_DIRECT_ELEC,AMMONIA,0.0
DEC_DIRECT_ELEC,COAL,0.0
DEC_DIRECT_ELEC,ELECTRICITY,-1.0
DEC_DIRECT_ELEC,GAS,0.0
DEC_DIRECT_ELEC,H2,0.0
DEC_DIRECT_ELEC,HEAT_HIGH_T,0.0
DEC_DIRECT_ELEC,HEAT_LOW_T_DECEN,1.0
DEC_DIRECT_ELEC,HEAT_LOW_T_DHN,0.0
DEC_DIRECT_ELEC,LFO,0.0
DEC_DIRECT_ELEC,RES_GEO,0.0
DEC_DIRECT_ELEC,RES_HYDRO,0.0
DEC_DIRECT_ELEC,RES_SOLAR,0.0
DEC_DIRECT_ELEC,RES_WIND,0.0
DEC_DIRECT_ELEC,URANIUM,0.0
DEC_DIRECT_ELEC,WASTE,0.0
DEC_DIRECT_ELEC,WET_BIOMASS,0.0
DEC_DIRECT_ELEC,WOOD,0.0
DEC_HP_ELEC,AMMONIA,0.0
DEC_HP_ELEC,COAL,0.0
DEC_HP_ELEC,ELECTRICITY,-0.33
DEC_HP_ELEC,GAS,0.0
DEC_HP_ELEC,H2,0.0
DEC_HP_ELEC,HEAT_HIGH_T,0.0
DEC_HP_ELEC,HEAT_LOW_T_DECEN,1.0
DEC_HP_ELEC,HEAT_LOW_T_DHN,0.0
DEC_HP_ELEC,LFO,0.0
DEC_HP_ELEC,RES_GEO,0.0
DEC_HP_ELEC,RES_HYDRO,0.0
DEC_HP_ELEC,RES_SOLAR,0.0
DEC_HP_ELEC,RES_WIND,0.0
DEC_HP_ELEC,URANIUM,0.0
DEC_HP_ELEC,WASTE,0.0
DEC_HP_ELEC,WET_BIOMASS,0.0
DEC_HP_ELEC,WOOD,0.0
DEC_SOLAR,AMMONIA,0.0
DEC_SOLAR,COAL,0.0
DEC_SOLAR,ELECTRICITY,0.0
DEC_SOLAR,GAS,0.0
DEC_SOLAR,H2,0.0
DEC_SOLAR,HEAT_HIGH_T,0.0
DEC_SOLAR,HEAT_LOW_T_DECEN,1.0
DEC_SOLAR,HEAT_LOW_T_DHN,0.0
DEC_SOLAR,LFO,0.0
DEC_SOLAR,RES_GEO,0.0
DEC_SOLAR,RES_HYDRO,0.0
DEC_SOLAR,RES_SOLAR,-1.0
DEC_SOLAR,RES_WIND,0.0
DEC_SOLAR,URANIUM,0.0
DEC_SOLAR,WASTE,0.0
DEC_SOLAR,WET_BIOMASS,0.0
DEC_SOLAR,WOOD,0.0
DEC_THHP_GAS,AMMONIA,0.0
DEC_THHP_GAS,COAL,0.0
DEC_THHP_GAS,ELECTRICITY,0.0
DEC_THHP_GAS,GAS,-0.67
DEC_THHP_GAS,H2,0.0
DEC_THHP_GAS,HEAT_HIGH_T,0.0
DEC_THHP_GAS,HEAT_LOW_T_DECEN,1.0
DEC_THHP_GAS,HEAT_LOW_T_DHN,0.0
DEC_THHP_GAS,LFO,0.0
DEC_THHP_GAS,RES_GEO,0.0
DEC_THHP_GAS,RES_HYDRO,0.0
DEC_THHP_GAS,RES_SOLAR,0.0
DEC_THHP_GAS,RES_WIND,0.0
DEC_THHP_GAS,URANIUM,0.0
DEC_THHP_GAS,WASTE,0.0
DEC_THHP_GAS,WET_BIOMASS,0.0
DEC_THHP_GAS,WOOD,0.0
DHN_BOILER_GAS,AMMONIA,0.0
DHN_BOILER_GAS,COAL,0.0
DHN_BOILER_GAS,ELECTRICITY,0.0
DHN_BOILER_GAS,GAS,-1.08
DHN_BOILER_GAS,H2,0.0
DHN_BOILER_GAS,HEAT_HIGH_T,0.0
DHN_BOILER_GAS,HEAT_LOW_T_DECEN,0.0
DHN_BOILER_GAS,HEAT_LOW_T_DHN,1.0
DHN_BOILER_GAS,LFO,0.0
DHN_BOILER_GAS,RES_GEO,0.0
DHN_BOILER_GAS,RES_HYDRO,0.0
DHN_BOILER_GAS,RES_SOLAR,0.0
DHN_BOILER_GAS,RES_WIND,0.0
DHN_BOILER_GAS,URANIUM,0.0
DHN_BOILER_GAS,WASTE,0.0
DHN_BOILER_GAS,WET_BIOMASS,0.0
DHN_BOILER_GAS,WOOD,0.0
DHN_BOILER_OIL,AMMONIA,0.0
DHN_BOILER_OIL,COAL,0.0
DHN_BOILER_OIL,ELECTRICITY,0.0
DHN_BOILER_OIL,GAS,0.0
DHN_BOILER_OIL,H2,0.0
DHN_BOILER_OIL,HEAT_HIGH_T,0.0
DHN_BOILER_OIL,HEAT_LOW_T_DECEN,0.0
DHN_BOILER_OIL,HEAT_LOW_T_DHN,1.0
DHN_BOILER_OIL,LFO,-1.15
DHN_BOILER_OIL,RES_GEO,0.0
DHN_BOILER_OIL,RES_HYDRO,0.0
DHN_BOILER_OIL,RES_SOLAR,0.0
DHN_BOILER_OIL,RES_WIND,0.0
DHN_BOILER_OIL,URANIUM,0.0
DHN_BOILER_OIL,WASTE,0.0
DHN_BOILER_OIL,WET_BIOMASS,0.0
DHN_BOILER_OIL,WOOD,0.0
DHN_BOILER_WOOD,AMMONIA,0.0
DHN_BOILER_WOOD,COAL,0.0
DHN_BOILER_WOOD,ELECTRICITY,0.0
DHN_BOILER_WOOD,GAS,0.0
DHN_BOILER_WOOD,H2,0.0
DHN_BOILER_WOOD,HEAT_HIGH_T,0.0
DHN_BOILER_WOOD,HEAT_LOW_T_DECEN,0.0
DHN_BOILER_WOOD,HEAT_LOW_T_DHN,1.0
DHN_BOILER_WOOD,LFO,0.0
DHN_BOILER_WOOD,RES_GEO,0.0
DHN_BOILER_WOOD,RES_HYDRO,0.0
DHN_BOILER_WOOD,RES_SOLAR,0.0
DHN_BOILER_WOOD,RES_WIND,0.0
DHN_BOILER_WOOD,URANIUM,0.0
DHN_BOILER_WOOD,WASTE,0.0
DHN_BOILER_WOOD,WET_BIOMASS,0.0
DHN_BOILER_WOOD,WOOD,-1.16
DHN_COGEN_BIO_HYDROLYSIS,AMMONIA,0.0
DHN_COGEN_BIO_HYDROLYSIS,COAL,0.0
DHN_COGEN_BIO_HYDROLYSIS,ELECTRICITY,0.76
DHN_COGEN_BIO_HYDROLYSIS,GAS,0.0
DHN_COGEN_BIO_HYDROLYSIS,H2,0.0
DHN_COGEN_BIO_HYDROLYSIS,HEAT_HIGH_T,0.0
DHN_COGEN_BIO_HYDROLYSIS,HEAT_LOW_T_DECEN,0.0
DHN_COGEN_BIO_HYDROLYSIS,HEAT_LOW_T_DHN,1.0
DHN_COGEN_BIO_HYDROLYSIS,LFO,0.0
DHN_COGEN_BIO_HYDROLYSIS,RES_GEO,0.0
DHN_COGEN_BIO_HYDROLYSIS,RES_HYDRO,0.0
DHN_COGEN_BIO_HYDROLYSIS,RES_SOLAR,0.0
DHN_COGEN_BIO_HYDROLYSIS,RES_WIND,0.0
DHN_COGEN_BIO_HYDROLYSIS,URANIUM,0.0
DHN_COGEN_BIO_HYDROLYSIS,WASTE,0.0
DHN_COGEN_BIO_HYDROLYSIS,WET_BIOMASS,-2.99
DHN_COGEN_BIO_HYDROLYSIS,WOOD,0.0
DHN_COGEN_GAS,AMMONIA,0.0
DHN_COGEN_GAS,COAL,0.0
DHN_COGEN_GAS,ELECTRICITY,1.25
DHN_COGEN_GAS,GAS,-2.5
DHN_COGEN_GAS,H2,0.0
DHN_COGEN_GAS,HEAT_HIGH_T,0.0
DHN_COGEN_GAS,HEAT_LOW_T_DECEN,0.0
DHN_COGEN_GAS,HEAT_LOW_T_DHN,1.0
DHN_COGEN_GAS,LFO,0.0
DHN_COGEN_GAS,RES_GEO,0.0
DHN_COGEN_GAS,RES_HYDRO,0.0
DHN_COGEN_GAS,RES_SOLAR,0.0
DHN_COGEN_GAS,RES_WIND,0.0
DHN_COGEN_GAS,URANIUM,0.0
DHN_COGEN_GAS,WASTE,0.0
DHN_COGEN_GAS,WET_BIOMASS,0.0
DHN_COGEN_GAS,WOOD,0.0
DHN_COGEN_WASTE,AMMONIA,0.0
DHN_COGEN_WASTE,COAL,0.0
DHN_COGEN_WASTE,ELECTRICITY,0.44
DHN_COGEN_WASTE,GAS,0.0
DHN_COGEN_WASTE,H2,0.0
DHN_COGEN_WASTE,HEAT_HIGH_T,0.0
